ANO,MERCADO,MES,CLIENTE,MN,ARTIGO,REPRESENTANTE,GERENCIA,MTS,RS
2026,I,JAN,CEU DE ALGODAO,TED,SILKY,LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA,MAGDA,598.0,10102.0
2026,I,JAN,CF8 CONFECCOES LTDA,TED,RAVEL,GISLEINE BORGES KEY ACCOUNT,FABIANA FERNANDES,10.0,325.0
2026,I,JAN,CF8 CONFECCOES LTDA,TF,ANA RUGA,GISLEINE BORGES KEY ACCOUNT,FABIANA FERNANDES,4.0,112.0
2026,I,JAN,CF8 CONFECCOES LTDA,TF,MAQ. 40,GISLEINE BORGES KEY ACCOUNT,FABIANA FERNANDES,100.0,2893.0
2026,I,JAN,CF8 CONFECCOES LTDA,TF,RAVEL,GISLEINE BORGES KEY ACCOUNT,FABIANA FERNANDES,2.0,68.0
2026,I,JAN,CF8 CONFECCOES LTDA,TP,RUTH,GISLEINE BORGES KEY ACCOUNT,FABIANA FERNANDES,60.0,1794.0
2026,I,JAN,CH3,TED,LIRA,FELIPPE TRINDADE REPRES. LTDA,MAGDA,2.0,63.0
2026,I,JAN,CH3,TF,LUHI,FELIPPE TRINDADE REPRES. LTDA,MAGDA,4.0,126.0
2026,I,JAN,CHARLOU,TED,SILKY,LP REPRESENTAÇÕES EIRELI,MAGDA,363.0,7875.0
2026,I,JAN,CHARLOU,TF,MAQ. 50,LP REPRESENTAÇÕES EIRELI,MAGDA,44.0,1195.0
2026,I,JAN,CHEDDAR TECIDOS LTDA,TP,PIQUET,SOUTO REPRES. LTDA,MAGDA,194.0,5100.0
2026,I,JAN,CHEDDAR TECIDOS LTDA,TP,RUTH,SOUTO REPRES. LTDA,MAGDA,100.0,2464.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TF,BIS,SOUTO REPRES. LTDA,MAGDA,251.0,5918.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TF,GALLES,SOUTO REPRES. LTDA,MAGDA,395.0,8332.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TF,LUHI,SOUTO REPRES. LTDA,MAGDA,101.0,2794.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TF,MAQ. 40,SOUTO REPRES. LTDA,MAGDA,120.0,2838.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TF,MOZART,SOUTO REPRES. LTDA,MAGDA,220.0,5366.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TF,OXFORDINE,SOUTO REPRES. LTDA,MAGDA,519.0,11385.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TF,RIVIERA,SOUTO REPRES. LTDA,MAGDA,35.0,1007.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TF,RUTH,SOUTO REPRES. LTDA,MAGDA,145.0,3643.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TP,BOLT,SOUTO REPRES. LTDA,MAGDA,76.0,885.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TP,GALLES STRETCH,SOUTO REPRES. LTDA,MAGDA,110.0,2555.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TP,OXFORD,SOUTO REPRES. LTDA,MAGDA,498.0,7979.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TP,RUTH,SOUTO REPRES. LTDA,MAGDA,90.0,2121.0
2026,I,JAN,CHEHADE & CIA. LTDA.,TP,SILKY,SOUTO REPRES. LTDA,MAGDA,394.0,5140.0
2026,I,JAN,CHRYS UCHOA,TF,CAPRI,MC REPRESENTACAO TEXTIL LTDA,MAGDA,576.0,12376.0
2026,I,JAN,CICERO VIANA DA SILVA,TP,BOXER PLUS,GALERIA TEXTIL LTDA,MAGDA,4.0,64.0
2026,I,JAN,CIRCULO SA,TER,BOLT,ANMATEX REPRESENTAÇÕES COMERCIAIS LTDA,FABIANA FERNANDES,16002.0,183663.0
2026,I,JAN,CIRCULO SA,TED,BOLT,ANMATEX REPRESENTAÇÕES COMERCIAIS LTDA,FABIANA FERNANDES,568.0,9022.0
2026,I,JAN,CITEROL COM E IND DE TEC E ROUPA SA,TF,TAOS,FELIPPE TRINDADE REPRES. LTDA,MAGDA,2.0,38.0
2026,I,JAN,CITEROL COM E IND DE TEC E ROUPA SA,TF,TAOS FLAT,FELIPPE TRINDADE REPRES. LTDA,MAGDA,10.0,190.0
2026,I,JAN,CITEROL COM E IND DE TEC E ROUPA SA,TP,MOOD PLUS,FELIPPE TRINDADE REPRES. LTDA,MAGDA,2.0,58.0
2026,I,JAN,CJP,TF,OXFORD,NICCHIO REPRESENTACOES E SERVICOS S/C LTDA,MAGDA,78.0,1658.0
2026,I,JAN,CLASSIC IMP E EXP EIRELI,TP,GALLES,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,1462.0,33382.0
2026,I,JAN,CLAUDIA VANUSA COLOMBO ME,TP,GALLES,REPRES.CLOMAR LTDA,MAGDA,-15.0,-336.0
2026,I,JAN,CM PIMENTEL REPRESENTACOES LTDA,TP,DOURO STRETCH,CM PIMENTEL REPRESENTAÇÕES LTDA,FABIANA FERNANDES,4.0,77.0
2026,I,JAN,CM PIMENTEL REPRESENTACOES LTDA,TP,MOOD PLUS,CM PIMENTEL REPRESENTAÇÕES LTDA,FABIANA FERNANDES,38.0,675.0
2026,I,JAN,CNT MANUFATURA DO VESTUáRIO LTDA,TF,MAQ. 50,FELIPPE TRINDADE REPRES. LTDA,MAGDA,100.0,2581.0
2026,I,JAN,CO2 INDUSTRIA E COMÉRCIO DE VESTUÁRIO LTDA,TF,TAOS MELANGE,BECA REPRESENTAÇÕES COMERCIAIS LTDA,MAGDA,198.0,4779.0
2026,I,JAN,COLBECK IND E COM DE CONF LTDA,TP,RAVEL,REPRES.CLOMAR LTDA,MAGDA,24.0,782.0
2026,I,JAN,COMÉRCIO DE TECIDOS APF LTDA,TED,BOLT,EPL ESCRITORIO DE NEGOCIOS LTDA,MAGDA,511.0,8806.0
2026,I,JAN,COMERCIO DE TECIDOS PEDRA NEGRA LTDA,TED,BOLT,FELIPPE TRINDADE REPRES. LTDA,MAGDA,8513.0,144486.0
2026,I,JAN,COMERCIO E ATACADISTA MAF LTDA,TED,BIARRITZ,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,8.0,142.0
2026,I,JAN,COMERCIO E ATACADISTA MAF LTDA,TED,BOLT,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,11143.0,197519.0
2026,I,JAN,COMERCIO E ATACADISTA MAF LTDA,TED,CUMARU,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,557.0,12577.0
2026,I,JAN,COMERCIO E ATACADISTA MAF LTDA,TF,VICHY,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,1679.0,27373.0
2026,I,JAN,COMERCIO E ATACADISTA MAF LTDA,TP,BOLT,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,651.0,7740.0
2026,I,JAN,COMERCIO E ATACADISTA MAF LTDA,TP,CUMARU,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,1464.0,29122.0
2026,I,JAN,COMERCIO E ATACADISTA MAF LTDA,TP,SILKY,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,402.0,5473.0
2026,I,JAN,COMPLEXO B,TED,SILKY,ACSTEXTIL REPRESENTACAO LTDA,FABIANA FERNANDES,103.0,2565.0
2026,I,JAN,COMPLEXO B,TF,DONATO,ACSTEXTIL REPRESENTACAO LTDA,FABIANA FERNANDES,11.0,318.0
2026,I,JAN,COMPLEXO B,TF,GIRON,ACSTEXTIL REPRESENTACAO LTDA,FABIANA FERNANDES,11.0,318.0
2026,I,JAN,COMPLEXO B,TF,JACARTA,ACSTEXTIL REPRESENTACAO LTDA,FABIANA FERNANDES,11.0,329.0
2026,I,JAN,CONF ACONCHEGO DO BEBE,TF,TAOS,MJ LIMA REPRESENTACOES LTDA,MAGDA,289.0,6075.0
2026,I,JAN,CONF DESTRO ROUPAS ESPORTIVAS LTDA,TF,GALLES,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,4.0,93.0
2026,I,JAN,CONF DESTRO ROUPAS ESPORTIVAS LTDA,TF,GALLES STRETCH,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,4.0,104.0
